id,ts
Henry,57.752
Liam,59.031
Noah,61.392
Erik,63.008
Mateo,64.309
Lucas,65.995
James,71.978
Emma,71.991
Isabella,73.978
Lily,74.16
Mia,77.886
Henry,114.745
Liam,115.243
Noah,117.287
Erik,121.269
Mateo,122.821
Lucas,125.843
Emma,140.505
James,141.589
Isabella,143.719
Lily,147.35
Mia,153.483
Liam,171.962
Henry,172.609
Noah,173.743
Erik,179.424
Mateo,180.923
Lucas,186.544
Emma,207.769
James,210.60399999999998
Isabella,214.03699999999998
Lily,219.356
Liam,229.483
Henry,231.084
Noah,231.515
Mia,234.886
Erik,236.717
Mateo,241.174
Lucas,245.827
Emma,276.174
James,279.411
Liam,286.293
Isabella,287.341
Noah,288.351
Henry,293.334
Erik,296.511
Lily,297.727
Mateo,305.624
Lucas,307.461
Liam,344.16
Noah,345.609
Emma,345.759
Henry,350.934
James,354.331
Mia,355.138
Erik,355.319
Isabella,363.903
Mateo,367.87300000000005
Lucas,368.443
Lily,377.41599999999994
Liam,399.16400000000004
Noah,400.416
Henry,408.87100000000004
Erik,414.808
Emma,415.698
James,422.661
Lucas,430.73199999999997
Mateo,432.62600000000003
Mia,434.43399999999997
Isabella,438.80400000000003
Liam,453.999
Noah,456.246
Lily,464.5439999999999
Henry,466.63300000000004
Erik,473.464
Emma,483.009
Lucas,490.85699999999997
Mateo,492.25600000000003
James,493.358
Liam,512.272
Noah,513.837
Mia,518.8689999999999
Isabella,522.606
Henry,530.254
Erik,531.905
Lucas,551.4449999999999
Mateo,553.849
Emma,555.058
James,561.712
Isabella,603.908
Mia,604.5149999999999
Emma,625.18
James,632.334
Mia,686.3499999999999
Isabella,676.588
Mia,766.3829999999999
Liam,567.879
Noah,569.3
Henry,587.612
Erik,593.832
Lucas,611.497
Mateo,612.8180000000001
Liam,625.106
Noah,626.607
Henry,645.434
Erik,653.124
Lucas,675.55
Mateo,675.6770000000001
Liam,682.178
Noah,683.6669999999999
Emma,693.776
Henry,703.8299999999999
James,703.8639999999999
Erik,713.76
Mateo,733.0880000000002
Lucas,734.5329999999999
Liam,741.019
Noah,741.2259999999999
Isabella,749.449
Henry,760.4559999999999
Emma,764.155
James,772.232
Erik,778.585
Mateo,791.5290000000002
Lucas,794.5129999999999
Noah,795.7299999999999
Liam,796.398
Isabella,821.521
Erik,839.072
James,846.5029999999999
Mia,847.3009999999999
Mia,924.9459999999999
Henry,817.6069999999999
Emma,832.429
Isabella,891.2919999999999
Emma,899.553
James,923.0769999999999
Isabella,963.3389999999999
Mia,999.3809999999999
Mia,1073.2259999999999
Mateo,852.9170000000003
Lucas,853.8249999999999
Emma,968.968
James,992.8509999999999
Isabella,1032.007
Mia,1153.7189999999998
Noah,851.2289999999999
Liam,854.015
Henry,874.3799999999999
Erik,899.543
Mateo,909.2240000000003
Lucas,918.1179999999999
Emma,1034.662
James,1060.5359999999998
Isabella,1103.785
Mia,1237.1309999999999
Noah,906.3879999999999
Liam,909.36
Henry,931.8059999999999
Erik,958.071
Mateo,968.5440000000003
Lucas,977.7909999999999
Emma,1102.259
James,1130.9859999999999
Isabella,1176.0990000000002
Mia,1318.7369999999999
Noah,961.4229999999999
Liam,965.8580000000001
Henry,988.242
Erik,1018.3810000000001
Mateo,1027.4940000000004
Lucas,1037.422
Emma,1172.797
James,1201.504
Isabella,1247.553
Mia,1402.06
Noah,1016.4159999999999
Liam,1021.3870000000001
Henry,1047.076
Erik,1079.8860000000002
Mateo,1086.1690000000003
Lucas,1101.162
Emma,1243.138
James,1269.3149999999998
Isabella,1322.5700000000002
Mia,1559.916
Noah,1071.9679999999998
Liam,1076.825
Henry,1105.987
Erik,1140.6180000000002
Mateo,1143.3480000000004
Lucas,1160.586
Emma,1308.5629999999999
James,1339.9899999999998
Isabella,1393.9360000000001
Mia,1660.37
Noah,1127.552
Liam,1132.135
Henry,1162.5420000000001
Erik,1198.8970000000002
Mateo,1201.0500000000004
Lucas,1223.574
Emma,1377.859
James,1412.5319999999997
Isabella,1464.95
Mia,1735.1019999999999
Noah,1182.551
Liam,1186.925
Henry,1219.3410000000001
Erik,1255.6860000000001
Mateo,1257.7980000000005
Lucas,1282.053
Emma,1445.5929999999998
James,1478.8569999999997
Isabella,1533.375
Mia,1812.5389999999998
Noah,1239.7559999999999
Liam,1243.73
Henry,1275.807
Erik,1315.1910000000003
Mateo,1316.5820000000006
Lucas,1341.4430000000002
Emma,1513.7499999999998
James,1550.2409999999998
Isabella,1604.089
Mia,1893.0739999999998
Noah,1293.9669999999999
Liam,1298.589
Henry,1334.811
Erik,1373.1950000000002
Mateo,1376.1150000000005
Lucas,1403.2130000000002
Emma,1580.2539999999997
James,1617.5899999999997
Isabella,1670.633
Mia,1978.9819999999997
Noah,1349.34
Liam,1353.201
Henry,1392.087
Erik,1431.3400000000001
Mateo,1433.0360000000005
Lucas,1463.4990000000003
Emma,1647.9639999999997
James,1696.5109999999997
Isabella,1740.134
Noah,1405.0739999999998
Liam,1408.2
Henry,1450.0149999999999
Erik,1489.5010000000002
Mateo,1490.2900000000004
Lucas,1525.5620000000004
Emma,1713.4129999999998
James,1762.7539999999997
Isabella,1812.852
Noah,1460.947
Liam,1466.159
Henry,1507.2749999999999
Erik,1546.9150000000002
Mateo,1547.9530000000004
Lucas,1584.8180000000004
Emma,1779.024
James,1828.3139999999996
Isabella,1882.1480000000001
Noah,1516.1
Liam,1523.9450000000002
Henry,1565.216
Erik,1604.6190000000001
Mateo,1605.4630000000004
Lucas,1645.4210000000005
Emma,1850.735
James,1901.3449999999996
Isabella,1949.142
Noah,1570.8809999999999
Liam,1580.265
Henry,1622.2479999999998
Erik,1661.8490000000002
Mateo,1663.6180000000004
Lucas,1705.2200000000005
Emma,1921.4779999999998
James,1978.8119999999997
Noah,1626.271
Liam,1636.779
Henry,1680.9519999999998
Erik,1721.5700000000002
Mateo,1722.7860000000003
Lucas,1764.0850000000005
Emma,2005.0189999999998
Noah,1681.196
Liam,1691.585
Henry,1739.3829999999998
Erik,1780.2110000000002
Mateo,1781.2430000000004
Lucas,1823.7920000000006
Noah,1739.4669999999999
Liam,1747.424
Henry,1797.3639999999998
Erik,1838.0190000000002
Mateo,1839.4060000000004
Lucas,1887.3440000000005
Noah,1793.3719999999998
Liam,1804.219
Henry,1854.7969999999998
Erik,1895.0310000000002
Mateo,1896.5770000000005
Lucas,1947.0600000000004
Noah,1847.7779999999998
Liam,1860.16
Henry,1918.9619999999998
Erik,1953.5520000000001
Mateo,1955.2000000000005
Noah,1902.3719999999998
Liam,1915.863
Noah,1958.2579999999998
Liam,1978.737
